2024-11-10 22:01:59.268 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2024.18.1-linux-x64/python-env-tools/bin/pet server
2024-11-10 22:01:59.270 [info] Discovered env: /bin/python3
2024-11-10 22:01:59.273 [info] Discovered env: /usr/bin/python3
2024-11-10 22:02:01.207 [info] Locator Conda took 2.639769183s
2024-11-10 22:02:01.207 [info] Locator Homebrew took 96.37µs
2024-11-10 22:02:01.207 [info] Locator LinuxGlobal took 21.755022ms
2024-11-10 22:02:01.207 [info] Locator PipEnv took 195.723µs
2024-11-10 22:02:01.207 [info] Locator Poetry took 26.213731ms
2024-11-10 22:02:01.207 [info] Locator PyEnv took 21.694421ms
2024-11-10 22:02:01.207 [info] Locator Venv took 21.644µs
2024-11-10 22:02:01.207 [info] Locator VirtualEnv took 80.005µs
2024-11-10 22:02:01.207 [info] Locator VirtualEnvWrapper took 18.079µs
2024-11-10 22:02:01.207 [info] Locator GlobalVirtualEnvs took 1.102736ms
2024-11-10 22:02:01.207 [info] Locator Locators took 2.640578207s
2024-11-10 22:02:01.207 [info] Locator Path took 209.119758ms
2024-11-10 22:02:01.207 [info] Locator Workspaces took 469.335µs
2024-11-10 22:02:01.207 [info] Refresh completed in 2640ms
2024-11-10 22:02:01.314 [info] Resolved Python Environment /bin/python3
2024-11-10 22:02:59.863 [info] Resolved Python Environment /bin/python3
