2024-11-16 13:06:28.507 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2024.20.0-linux-x64/python-env-tools/bin/pet server
2024-11-16 13:06:28.902 [info] Discovered env: /usr/bin/python3
2024-11-16 13:06:28.911 [info] Discovered env: /bin/python3
2024-11-16 13:06:28.929 [info] Resolved Python Environment /usr/bin/python3
2024-11-16 13:06:36.893 [info] Locator Conda took 10.96955526s
2024-11-16 13:06:36.893 [info] Locator Homebrew took 64.363µs
2024-11-16 13:06:36.893 [info] Locator LinuxGlobal took 79.70658ms
2024-11-16 13:06:36.893 [info] Locator PipEnv took 351.662µs
2024-11-16 13:06:36.893 [info] Locator Poetry took 120.819466ms
2024-11-16 13:06:36.893 [info] Locator PyEnv took 65.799305ms
2024-11-16 13:06:36.893 [info] Locator Venv took 31.788µs
2024-11-16 13:06:36.893 [info] Locator VirtualEnv took 29.149µs
2024-11-16 13:06:36.893 [info] Locator VirtualEnvWrapper took 53.027µs
2024-11-16 13:06:36.893 [info] Locator GlobalVirtualEnvs took 2.148189ms
2024-11-16 13:06:36.894 [info] Locator Locators took 10.970567706s
2024-11-16 13:06:36.894 [info] Locator Path took 528.944222ms
2024-11-16 13:06:36.894 [info] Locator Workspaces took 3.648154ms
2024-11-16 13:06:36.894 [info] Refresh completed in 10970ms
