2024-11-14 09:09:58.701 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2024.20.0-linux-x64/python-env-tools/bin/pet server
2024-11-14 09:10:00.184 [info] Discovered env: /usr/bin/python3
2024-11-14 09:10:00.695 [info] Discovered env: /bin/python3
2024-11-14 09:10:00.743 [info] Resolved Python Environment /usr/bin/python3
2024-11-14 09:10:09.826 [info] Locator Conda took 15.233748664s
2024-11-14 09:10:09.827 [info] Locator Homebrew took 309.635µs
2024-11-14 09:10:09.827 [info] Locator LinuxGlobal took 124.520033ms
2024-11-14 09:10:09.827 [info] Locator PipEnv took 30.295µs
2024-11-14 09:10:09.827 [info] Locator Poetry took 192.893092ms
2024-11-14 09:10:09.827 [info] Locator PyEnv took 189.268406ms
2024-11-14 09:10:09.827 [info] Locator Venv took 28.501µs
2024-11-14 09:10:09.827 [info] Locator VirtualEnv took 92.315µs
2024-11-14 09:10:09.827 [info] Locator VirtualEnvWrapper took 50.975µs
2024-11-14 09:10:09.828 [info] Locator GlobalVirtualEnvs took 40.288776ms
2024-11-14 09:10:09.828 [info] Locator Locators took 15.235058432s
2024-11-14 09:10:09.828 [info] Locator Path took 853.367402ms
2024-11-14 09:10:09.828 [info] Locator Workspaces took 3.556159ms
2024-11-14 09:10:09.828 [info] Refresh completed in 15235ms
