2024-11-10 21:59:13.587 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2024.18.1-linux-x64/python-env-tools/bin/pet server
2024-11-10 21:59:13.593 [info] Discovered env: /usr/bin/python3
2024-11-10 21:59:13.597 [info] Discovered env: /bin/python3
2024-11-10 21:59:18.313 [info] Locator Conda took 5.493355885s
2024-11-10 21:59:18.313 [info] Locator Homebrew took 444.94µs
2024-11-10 21:59:18.313 [info] Locator LinuxGlobal took 199.633759ms
2024-11-10 21:59:18.313 [info] Locator PipEnv took 25.662µs
2024-11-10 21:59:18.313 [info] Locator Poetry took 28.963108ms
2024-11-10 21:59:18.313 [info] Locator PyEnv took 30.035654ms
2024-11-10 21:59:18.313 [info] Locator Venv took 27.723µs
2024-11-10 21:59:18.313 [info] Locator VirtualEnv took 29.412µs
2024-11-10 21:59:18.313 [info] Locator VirtualEnvWrapper took 89.723µs
2024-11-10 21:59:18.313 [info] Locator GlobalVirtualEnvs took 3.091754ms
2024-11-10 21:59:18.313 [info] Locator Locators took 5.494365944s
2024-11-10 21:59:18.313 [info] Locator Path took 375.464859ms
2024-11-10 21:59:18.313 [info] Locator Workspaces took 7.754402ms
2024-11-10 21:59:18.314 [info] Refresh completed in 5494ms
2024-11-10 21:59:18.403 [info] Resolved Python Environment /usr/bin/python3
